temperature,loading,fug_CO2,fug_H2O,act_coeff_CO2,Henry_CO2,x_CO2,x_MEA,x_H2O,x_MEAH^+,x_MEACOO^-,x_HCO3^-,a_CO2,a_MEA,a_H2O,a_MEAH^+,a_MEACOO^-,a_HCO3^-,C_CO2,C_MEA,C_H2O,C_MEAH^+,C_MEACOO^-,C_HCO3^-,Pressure,K1,K2
80.0,0.07175862068965518,0.03422615137280797,41.7533563245128,1.068148550428758,32.04250135345827,7.110957848581214e-08,0.09634163320655896,0.8875501162934932,0.008054089695184985,0.007843909148070543,0.00021018054711444196,7.595559318122024e-08,0.051278271368437704,0.8799975675624395,0.004950148040318719,0.0048209683486604964,0.0001606170239091067,0.0030185125561859143,4089.581680975348,37675.39095750245,341.88602142275516,332.9641204068808,8.921901015874406,41.90418348931474,119488.45756577549,231.97177947365515
80.0,0.10613793103448277,0.07805105886797875,41.84361462515936,1.0645752230473355,73.31662167052734,1.6270621339717217e-07,0.08875885681879415,0.8874155443194892,0.011912718077751527,0.011568050391420706,0.00034466768633082014,1.7321300341848194e-07,0.046906507159242154,0.8818998597854639,0.006847967091425146,0.006649836575948648,0.000242720439606211,0.006906997707961885,3767.878360688242,37671.43861717446,505.70359140357175,491.0721961434269,14.631395260144846,42.02832579805285,119488.45756577549,231.97177947365515
80.0,0.14051724137931035,0.14980047717141917,41.93316312800683,1.061015975243551,141.18588283935424,3.133234982533653e-07,0.08120631190735159,0.8872508007005062,0.015771287034322037,0.015262009408809306,0.0005092776255127305,3.3244123706601544e-07,0.04261106237127879,0.8837871922449715,0.00863317399589735,0.0083543963448597,0.0003363950645784419,0.013301090666308113,3447.3396453742625,37665.23548236666,669.5167133562855,647.8970521785297,21.619661177755866,42.17985636156787,119488.45756577549,231.97177947365515
80.0,0.17489655172413793,0.2637287219034429,42.0206078466794,1.0574538438675478,249.39974773639048,5.534746098743176e-07,0.07369294327350961,0.8870469785197491,0.01962976236606562,0.018916873587338436,0.0007128887787271819,5.852738536946885e-07,0.0383952092183041,0.885630185156247,0.010343140346906672,0.009967511312147856,0.0004463456515347507,0.023495795583005668,3128.371744925383,37656.423814193746,833.3117286098962,803.0485716022133,30.263157007682743,42.37164294974984,119488.45756577549,231.97177947365515
80.0,0.20927586206896553,0.44347614494171134,42.10474182981672,1.0538843127810227,420.8015429809869,9.338540714246647e-07,0.06623125449749143,0.886791623794185,0.02348809392712601,0.022520190982867935,0.0009679029442580772,9.84174156301143e-07,0.034264579408781845,0.8874034007017171,0.012000026744470779,0.011505526796829856,0.0005784840520910322,0.039642307785191566,2811.531111904261,37644.49668045898,997.0746792655956,955.9869894470617,41.0876898185341,42.626131768986795,119488.45756577549,231.97177947365515
80.0,0.24365517241379311,0.7292943593086536,42.18426160448382,1.0503116647560073,694.3599540790327,1.5409422350436725e-06,0.058839137045080356,0.8864669437255656,0.02734618914355949,0.026054147810533397,0.0012920413330260957,1.6184696041815625e-06,0.030227682164018627,0.8890793667662483,0.013618524883059414,0.012975082502426967,0.000740892180913508,0.065409873809251,2497.6020785456994,37628.724559891314,1160.7902881534305,1105.9457530192644,54.84453513416626,42.982290308377024,119488.45756577549,231.97177947365515
80.0,0.2780344827586207,1.1922417148505833,42.25753958715986,1.0467491916183116,1138.9946363439126,2.527687448448062e-06,0.051542834959575554,0.8860468696858419,0.03120388383356707,0.02949264151485086,0.0017112423187162047,2.6458547933267613e-06,0.02629714419765147,0.8906237802502713,0.015209048981192519,0.014374974338982537,0.0009451526932519322,0.10728700577963671,2187.721601261284,37608.018225267224,1324.44035644299,1251.8071419800278,72.63321446296163,43.509578045970606,119488.45756577549,231.97177947365515
80.0,0.3124137931034483,1.963218189908188,42.322344130909194,1.0432219513262087,1881.8796780612436,4.176317859576467e-06,0.0443817842846151,0.8854922609094564,0.03506088924403438,0.0327965015644408,0.0022643876795935855,4.356826466825857e-06,0.022491884792533764,0.8919896067582814,0.016779215914922308,0.01569553975581133,0.0012084241560299453,0.17724505062356535,1883.5854613538736,37580.74119089887,1488.001942839741,1391.9001799002592,96.10176293948206,44.336706333490845,119488.45756577549,231.97177947365515
80.0,0.34679310344827585,3.294900519100088,42.375429756236606,1.0397723929833766,3168.867091812434,7.032434849285681e-06,0.03741652130404148,0.8847431865133828,0.03891662987826629,0.03590569822575537,0.0030109316525109113,7.312131611741464e-06,0.018840723895205688,0.893108444266758,0.0183344753226119,0.0169159595813025,0.0015567269652076742,0.29842372961244473,1587.7826209523628,37544.37362407149,1651.4402310316434,1523.670337302484,127.76989372915925,45.71317195937348,119488.45756577549,231.97177947365515
80.0,0.38117241379310346,5.6983046593203746,42.41192696450158,1.0364696553263348,5497.8017253445305,1.220086905748469e-05,0.030740900705187375,0.8837070293097825,0.042769934557986326,0.03872744174678636,0.004042492811199962,1.26458305466929e-05,0.015387929932237929,0.8938776627757176,0.019878185763770175,0.017999356069962905,0.00202985049579964,0.5176735328131107,1304.3128809049072,37495.01266501469,1814.6955775446095,1643.1757026008065,171.51987494380285,48.145222043288,119488.45756577549,231.97177947365515
